Crop,Region,Acreage,CropDays,Temperature,SoilMoisture,Humidity,Evapotranspiration,CropCoefficient,WaterRequirement
Paddy,Semi-Arid,3.55,124,25.5,21.8,85.2,5.97,1.02,87482.0
Paddy,Temperate,2.28,133,28.0,36.7,40.1,5.83,1.06,57020.0
Wheat,Semi-Arid,2.82,123,26.5,30.6,36.9,5.17,0.81,47791.0
Paddy,Semi-Arid,4.77,114,32.4,22.1,57.2,5.03,1.07,103893.0
Wheat,Temperate,4.84,139,31.0,32.9,51.8,4.94,0.85,82245.0
Paddy,Semi-Arid,3.09,121,36.6,34.2,28.4,5.37,1.09,73194.0
Wheat,Temperate,3.83,86,30.2,21.2,20.1,5.83,0.83,75000.0
Wheat,Tropical,4.31,152,33.2,34.9,62.4,5.3,0.9,83198.0
Maize,Semi-Arid,4.72,177,32.3,32.4,53.2,5.66,0.97,104869.0
Wheat,Tropical,2.89,163,33.2,38.9,25.3,4.91,0.82,47088.0
Paddy,Tropical,1.13,105,37.7,19.5,39.3,6.12,1.02,28546.0
Maize,Tropical,3.39,144,30.2,37.5,40.3,6.28,0.92,79262.0
Wheat,Tropical,3.61,84,32.5,16.9,23.1,6.42,0.87,81598.0
Maize,Semi-Arid,2.09,100,39.4,28.6,85.0,5.42,0.98,44925.0
Paddy,Temperate,2.56,82,27.5,23.4,34.6,5.85,1.02,61818.0
Wheat,Temperate,4.07,90,30.9,29.8,27.6,5.5,0.9,81530.0
Maize,Semi-Arid,3.06,90,31.9,37.6,32.3,5.74,1.0,71081.0
Paddy,Tropical,4.23,108,38.6,38.3,87.2,6.41,1.0,109728.0
Paddy,Temperate,1.23,87,36.6,19.3,36.2,5.83,1.08,31341.0
Maize,Tropical,3.94,172,32.5,10.4,20.6,5.25,1.0,83709.0
Paddy,Temperate,0.71,121,29.8,35.4,71.0,5.01,1.08,15547.0
Maize,Temperate,2.66,92,25.0,37.0,30.8,6.34,0.9,61423.0
Maize,Temperate,2.81,150,30.6,21.8,72.8,4.62,0.95,49910.0
Maize,Semi-Arid,2.11,97,39.9,21.6,60.2,5.81,0.96,47626.0
Paddy,Tropical,4.45,99,26.5,25.2,35.5,4.96,1.09,97361.0
Wheat,Temperate,4.4,120,39.3,27.4,50.6,5.36,0.82,78262.0
Paddy,Tropical,1.15,150,38.4,38.4,82.5,6.03,1.08,30308.0
Maize,Semi-Arid,2.74,172,28.8,18.9,61.6,4.91,0.95,51722.0
Wheat,Temperate,1.83,178,32.6,22.3,76.8,5.16,0.84,32099.0
Paddy,Temperate,2.09,83,27.3,36.3,57.7,6.36,1.08,58096.0
Maize,Tropical,3.94,136,33.9,11.8,45.4,6.45,0.91,93587.0
Maize,Semi-Arid,0.55,163,28.5,10.0,71.1,5.96,0.92,12204.0
Maize,Temperate,3.92,137,29.5,19.8,69.9,5.04,0.94,75156.0
Wheat,Tropical,4.56,179,39.8,32.6,47.5,4.8,0.84,74405.0
Maize,Temperate,3.89,111,27.5,33.4,60.9,5.76,0.94,85235.0
Paddy,Tropical,3.21,131,34.5,13.9,59.2,5.53,1.03,73992.0
Wheat,Semi-Arid,4.88,167,27.4,15.4,26.9,6.34,0.82,102669.0
Maize,Tropical,4.33,136,29.1,34.2,33.7,4.93,0.91,78613.0
Wheat,Tropical,3.66,155,35.1,23.1,58.5,5.26,0.89,69339.0
Maize,Semi-Arid,2.24,147,30.8,10.8,78.7,5.91,0.95,50895.0
Paddy,Tropical,0.94,167,35.6,34.5,58.3,5.58,1.08,22925.0
Wheat,Temperate,3.73,85,26.8,38.8,70.0,5.29,0.85,67874.0
Maize,Temperate,4.14,174,29.6,18.7,81.0,5.5,0.99,91226.0
Maize,Tropical,4.71,95,39.7,28.8,37.3,5.6,0.93,99268.0
Paddy,Semi-Arid,1.36,91,34.3,20.0,71.3,5.71,1.04,32683.0
Maize,Temperate,0.88,98,35.2,12.2,34.4,6.39,0.94,21391.0
Wheat,Tropical,3.8,166,28.0,22.6,72.6,5.15,0.88,69693.0
Maize,Semi-Arid,4.91,169,31.8,39.3,27.2,4.73,0.94,88346.0
Paddy,Temperate,1.35,163,31.3,20.4,47.8,5.71,1.06,33067.0
Paddy,Temperate,1.71,103,34.9,39.1,62.3,4.84,1.05,35168.0
Maize,Semi-Arid,1.84,133,35.4,23.7,26.4,5.03,1.0,37454.0
Paddy,Tropical,2.18,106,35.1,31.2,62.7,5.55,1.07,52390.0
Maize,Temperate,4.4,144,26.8,23.5,62.9,5.97,0.96,102051.0
Wheat,Tropical,3.14,177,30.6,11.5,63.9,5.67,0.82,59081.0
Wheat,Semi-Arid,4.73,89,31.0,35.2,33.2,6.45,0.85,104944.0
Wheat,Temperate,3.84,129,26.4,32.5,84.0,5.02,0.85,66309.0
Wheat,Semi-Arid,2.47,98,33.8,28.4,64.6,5.9,0.85,50129.0
Wheat,Tropical,1.4,102,25.8,37.3,22.1,4.93,0.81,22624.0
Wheat,Temperate,4.6,154,31.9,32.0,62.5,5.69,0.81,85797.0
Paddy,Semi-Arid,4.27,117,30.7,24.8,39.8,5.29,1.1,100553.0
Paddy,Semi-Arid,3.82,87,26.0,21.1,84.5,6.1,1.07,100901.0
Maize,Semi-Arid,2.16,133,37.9,11.1,75.1,5.76,0.93,46825.0
Maize,Semi-Arid,4.25,119,31.6,29.5,85.5,6.15,0.96,101544.0
Paddy,Semi-Arid,3.19,156,29.5,25.1,23.9,4.56,1.08,63577.0
Maize,Tropical,3.71,117,34.8,17.8,31.2,4.64,0.93,64788.0
Paddy,Tropical,3.86,146,37.2,30.6,27.7,4.52,1.09,76961.0
Maize,Tropical,2.91,100,36.1,12.3,81.1,5.12,0.95,57280.0
Maize,Tropical,1.97,128,32.6,38.2,81.3,6.31,1.0,50305.0
Paddy,Temperate,2.76,101,32.8,33.8,81.9,5.42,1.06,64170.0
Paddy,Temperate,3.25,108,31.9,22.3,70.5,5.48,1.04,74958.0
Wheat,Semi-Arid,0.51,145,33.0,33.7,40.8,4.67,0.82,7903.0
Wheat,Semi-Arid,3.8,157,26.8,29.0,60.8,5.54,0.84,71563.0
Maize,Temperate,0.76,98,30.0,32.5,60.0,5.61,0.92,15874.0
Maize,Semi-Arid,4.42,146,35.4,31.1,32.0,5.16,0.98,90452.0
Wheat,Tropical,3.34,127,39.2,30.9,54.7,5.17,0.89,62194.0
Paddy,Tropical,1.01,105,38.4,16.1,55.5,6.05,1.05,25965.0
Paddy,Tropical,0.81,82,33.4,28.9,68.2,5.96,1.08,21100.0
Wheat,Tropical,4.26,165,37.6,24.6,43.4,5.56,0.85,81474.0
Wheat,Tropical,4.35,124,32.3,10.4,48.7,6.11,0.82,88199.0
Maize,Temperate,1.44,87,38.2,21.7,57.9,4.63,0.93,25093.0
Wheat,Temperate,2.53,156,37.1,23.0,89.8,4.59,0.9,42295.0
Maize,Temperate,2.08,143,34.1,31.2,46.2,5.81,0.92,44993.0
Maize,Semi-Arid,2.21,81,34.9,24.5,20.4,6.05,0.99,53567.0
Maize,Temperate,3.11,152,33.8,33.5,72.6,5.85,0.9,66264.0
Wheat,Semi-Arid,1.43,123,36.1,15.1,33.6,6.0,0.8,27778.0
Wheat,Semi-Arid,3.22,100,34.8,36.7,60.5,6.02,0.83,65110.0
Paddy,Temperate,3.71,95,28.0,19.4,36.9,6.22,1.04,97122.0
Paddy,Temperate,2.78,158,33.4,27.5,29.4,6.14,1.09,75294.0
Paddy,Semi-Arid,2.44,141,35.4,17.9,85.7,4.95,1.1,53766.0
Paddy,Tropical,1.36,92,34.8,34.7,24.4,6.13,1.03,34750.0
Maize,Tropical,4.04,180,36.2,14.5,35.2,5.02,1.0,82074.0
Paddy,Semi-Arid,4.5,158,33.4,11.2,66.7,5.36,1.04,101515.0
Paddy,Temperate,1.96,108,31.5,30.0,26.6,6.13,1.09,52998.0
Wheat,Tropical,0.93,99,38.5,38.0,76.1,6.22,0.81,18962.0
Wheat,Temperate,3.07,95,31.2,13.9,21.6,6.2,0.85,65474.0
Paddy,Semi-Arid,1.91,127,29.7,10.5,21.2,5.91,1.06,48422.0
Maize,Temperate,3.29,178,39.1,22.4,48.2,5.66,0.98,73851.0
Wheat,Temperate,3.8,145,35.6,21.7,36.0,6.24,0.86,82525.0
Maize,Semi-Arid,2.04,148,34.5,24.1,51.0,5.8,0.99,47404.0
Wheat,Temperate,4.73,93,25.8,23.6,67.2,6.23,0.85,101365.0
Maize,Semi-Arid,3.34,166,35.4,30.9,65.4,5.61,0.99,75069.0
Wheat,Tropical,3.2,94,28.1,11.3,60.6,6.17,0.86,68715.0
Paddy,Semi-Arid,3.58,112,34.1,31.0,78.7,5.87,1.01,85894.0
Paddy,Semi-Arid,2.7,173,38.2,27.5,78.4,6.34,1.05,72738.0
Paddy,Semi-Arid,0.93,122,25.8,11.0,49.6,6.33,1.07,25491.0
Maize,Temperate,3.47,86,32.5,39.3,67.8,5.97,0.99,82996.0
Maize,Temperate,1.4,116,38.5,28.7,88.1,6.19,0.91,31914.0
Paddy,Semi-Arid,2.06,132,39.6,34.5,79.7,5.11,1.01,43026.0
Paddy,Semi-Arid,0.82,137,28.4,24.1,38.8,4.65,1.04,16048.0
Maize,Temperate,4.88,119,26.7,10.3,30.9,5.15,0.91,92552.0
Wheat,Tropical,1.08,118,30.5,20.6,41.2,4.84,0.82,17346.0
Maize,Temperate,0.84,167,27.3,12.5,53.9,5.91,0.98,19688.0
Paddy,Semi-Arid,1.12,89,32.6,14.3,63.7,6.25,1.08,30594.0
Wheat,Semi-Arid,1.88,136,35.7,18.5,45.5,5.95,0.85,38478.0
Paddy,Tropical,4.0,94,28.0,11.3,28.8,6.48,1.07,112237.0
Wheat,Semi-Arid,0.57,164,32.3,32.2,54.5,6.18,0.89,12687.0
Maize,Semi-Arid,4.1,95,29.9,23.6,73.4,6.31,0.91,95274.0
Wheat,Semi-Arid,1.29,162,36.0,25.4,80.9,4.96,0.9,23304.0
Maize,Semi-Arid,3.84,138,27.1,27.1,33.0,6.21,0.99,95538.0
Maize,Semi-Arid,4.22,101,34.1,27.3,59.1,4.79,0.92,75258.0
Paddy,Tropical,4.73,138,30.1,31.9,60.1,4.85,1.03,95622.0
Wheat,Tropical,1.64,164,38.1,17.5,38.4,5.75,0.8,30530.0
Paddy,Tropical,3.32,156,28.5,18.0,58.8,4.69,1.08,68054.0
Paddy,Temperate,4.77,102,29.4,16.2,36.7,5.68,1.02,111837.0
Wheat,Semi-Arid,3.92,95,34.2,32.8,55.9,6.5,0.85,87647.0
Paddy,Tropical,4.22,92,35.1,32.9,23.2,5.52,1.04,98040.0
Maize,Tropical,2.79,174,26.9,28.8,39.5,5.38,0.99,60137.0
Paddy,Tropical,4.08,154,31.7,17.1,23.5,6.05,1.1,109882.0
Wheat,Temperate,1.76,141,35.4,28.3,34.0,6.0,0.86,36752.0
Maize,Semi-Arid,1.45,172,37.8,35.1,84.9,4.63,0.97,26354.0
Wheat,Tropical,2.44,151,36.6,17.0,44.2,5.16,0.87,44328.0
Paddy,Semi-Arid,4.7,107,34.0,29.6,33.5,5.74,1.07,116819.0
Wheat,Semi-Arid,3.83,169,38.7,20.2,51.9,5.93,0.89,81802.0
Wheat,Temperate,2.46,162,29.7,20.2,25.5,6.2,0.83,51230.0
Paddy,Semi-Arid,4.26,142,39.8,38.2,51.7,4.62,1.03,82036.0
Wheat,Semi-Arid,3.7,110,27.3,39.0,51.3,4.88,0.82,59917.0
Paddy,Tropical,4.57,99,36.3,27.3,83.3,4.73,1.01,88352.0
Maize,Temperate,0.53,155,38.0,17.5,70.2,6.27,0.91,12238.0
Maize,Tropical,1.84,80,31.6,31.9,85.8,5.36,0.93,37118.0
Wheat,Semi-Arid,1.28,176,26.8,30.5,86.5,5.69,0.88,25937.0
Paddy,Temperate,3.13,84,30.3,11.4,35.3,5.82,1.06,78143.0
Paddy,Tropical,4.43,102,35.5,22.3,59.2,4.67,1.01,84559.0
Maize,Tropical,0.97,132,32.0,13.6,88.6,4.95,0.98,19042.0
Maize,Temperate,3.82,139,34.3,35.9,35.6,4.85,0.96,71977.0
Maize,Semi-Arid,3.03,133,31.4,33.8,22.2,5.36,0.97,63753.0
Maize,Temperate,1.02,168,35.4,23.7,35.9,5.65,0.91,21223.0
Wheat,Semi-Arid,2.12,100,36.2,12.3,82.7,6.11,0.86,45081.0
Wheat,Semi-Arid,1.2,117,32.0,24.5,78.9,4.87,0.86,20339.0
Wheat,Semi-Arid,3.93,92,31.9,19.1,85.3,5.86,0.86,80151.0
Paddy,Temperate,2.89,105,39.1,19.4,37.5,5.81,1.07,72707.0
Paddy,Temperate,4.68,157,26.0,22.5,28.1,6.05,1.03,118020.0
Maize,Tropical,0.85,98,28.5,30.4,85.8,5.38,0.97,17951.0
Maize,Tropical,0.98,111,36.3,25.9,57.6,4.64,0.93,17114.0
Maize,Tropical,3.0,159,37.4,11.3,49.3,5.92,0.93,66841.0
Maize,Temperate,2.76,122,28.9,19.4,78.6,6.37,0.92,65457.0
Maize,Tropical,1.92,159,31.0,32.6,57.2,6.06,0.94,44261.0
Maize,Tropical,4.21,124,34.9,10.2,86.0,5.36,0.97,88580.0
Wheat,Semi-Arid,1.63,97,28.7,26.4,39.2,5.65,0.89,33170.0
Maize,Tropical,4.23,122,39.7,39.0,47.7,4.92,0.96,80853.0
Paddy,Temperate,2.48,144,31.0,33.5,38.6,6.06,1.08,65685.0
Wheat,Semi-Arid,3.47,176,31.5,19.1,33.9,5.75,0.86,69441.0
Maize,Temperate,2.74,166,31.3,14.8,32.0,6.01,0.94,62643.0
Paddy,Semi-Arid,3.61,173,26.5,10.5,66.3,4.65,1.07,72688.0
Maize,Semi-Arid,4.26,124,29.6,17.9,39.6,6.35,0.9,98524.0
Paddy,Semi-Arid,1.46,95,33.6,21.8,22.0,6.39,1.09,41153.0
Wheat,Semi-Arid,1.88,127,35.5,20.9,59.6,5.59,0.88,37426.0
Maize,Tropical,3.05,151,38.6,21.2,58.5,6.16,0.95,72231.0
